X,Y,x,sqx,xy,te
180.6,3122.6,-396.6,157291.56000000003,-1238423.1600000001,10459.340621142343
181.2,2623,-396.00000000000006,156816.00000000006,-1038708.0000000001,10430.059539416026
181.8,0,-395.40000000000003,156341.16000000003,0,10400.822789380436
182.4,0,-394.80000000000007,155867.04000000007,0,10371.630371035577
183,0,-394.20000000000005,155393.64000000004,0,10342.482284381444
183.6,0,-393.6,154920.96000000002,0,10313.37852941804
184.2,0,-393.00000000000006,154449.00000000006,0,10284.319106145367
184.8,0,-392.40000000000003,153977.76000000004,0,10255.30401456342
185.4,0,-391.80000000000007,153507.24000000005,0,10226.333254672203
186,0,-391.20000000000005,153037.44000000003,0,10197.406826471713
186.6,0,-390.6,152568.36000000002,0,10168.524729961953
187.2,0,-390.00000000000006,152100.00000000006,0,10139.686965142926
187.8,0,-389.40000000000003,151632.36000000002,0,10110.893532014621
188.4,3105.4,-388.80000000000007,151165.44000000006,-1207379.5200000003,10082.14443057705
189,3072.1,-388.20000000000005,150699.24000000005,-1192589.2200000002,10053.439660830205
189.6,67.8,-387.6,150233.76,-26279.28,10024.779222774087
190.2,3062.6,-387.00000000000006,149769.00000000006,-1185226.2000000002,9996.163116408701
190.8,1433.1,-386.40000000000003,149304.96000000002,-553749.84,9967.591341734042
191.4,0,-385.80000000000007,148841.64000000004,0,9939.063898750112
192,0,-385.20000000000005,148379.04000000004,0,9910.580787456911
192.6,0.1,-384.6,147917.16,-38.46000000000001,9882.142007854436
193.2,0,-384.00000000000006,147456.00000000006,0,9853.747559942696
193.8,23.1,-383.40000000000003,146995.56000000003,-8856.54,9825.397443721678
194.4,2721.8,-382.80000000000007,146535.84000000005,-1041905.0400000003,9797.091659191394
195,2641.1,-382.20000000000005,146076.84000000003,-1009428.42,9768.830206351835
195.6,905.9,-381.6,145618.56000000003,-345691.44,9740.613085203006
196.2,0.1,-381.00000000000006,145161.00000000003,-38.10000000000001,9712.440295744906
196.8,0,-380.40000000000003,144704.16000000003,0,9684.311837977535
197.4,0,-379.80000000000007,144248.04000000007,0,9656.227711900894
198,0.1,-379.20000000000005,143792.64000000004,-37.92000000000001,9628.187917514979
198.6,0,-378.6,143337.96000000002,0,9600.192454819793
199.2,0,-378.00000000000006,142884.00000000003,0,9572.241323815337
